time,lat,lon,z,oxy
1900-07-22 09:59:59.999141888,59.5,20.433332,15.0,281.8979
1900-07-23 16:00:00.001716736,60.2,19.116667,2.5,295.4046
1900-07-23 16:00:00.001716736,60.2,19.116667,10.0,351.6099
1900-07-24 09:59:59.999141888,62.1,20.133333,20.0,315.44678
1900-07-24 09:59:59.999141888,62.1,20.133333,0.0,376.8805
1900-07-24 09:59:59.999141888,62.1,20.133333,10.0,335.0533
1900-07-25 00:00:00.000000000,62.716667,18.866667,0.0,274.9267
1900-07-25 00:00:00.000000000,62.716667,18.866667,10.0,382.5446
1900-07-25 00:00:00.000000000,62.716667,18.866667,0.0,295.8403
1900-08-23 06:59:59.999141888,62.716667,18.866667,0.0,249.6561
1900-08-23 06:59:59.999141888,62.716667,18.866667,10.0,228.3068
1900-08-23 06:59:59.999141888,62.716667,18.866667,30.0,328.5178
1900-08-23 06:59:59.999141888,62.716667,18.866667,0.0,284.0764
1900-10-02 00:00:00.000000000,59.866665,24.883333,0.0,238.3279
1900-10-02 00:00:00.000000000,59.866665,24.883333,2.5,251.3989
1900-10-02 00:00:00.000000000,59.866665,24.883333,0.0,257.4987
1901-05-26 12:00:00.000000000,62.716667,18.866667,0.0,320.2395
1901-05-26 12:00:00.000000000,62.716667,18.866667,2.5,335.9247
1901-05-26 12:00:00.000000000,62.716667,18.866667,5.0,273.6196
1901-05-26 12:00:00.000000000,62.716667,18.866667,10.0,246.60619
1901-05-27 09:00:00.000000000,60.2,19.116667,15.0,393.0014
1901-05-27 09:00:00.000000000,60.2,19.116667,0.0,367.73077
1901-05-27 09:00:00.000000000,60.2,19.116667,0.0,314.1397
1901-05-27 09:00:00.000000000,60.2,19.116667,10.0,322.418
1901-05-28 12:00:00.000000000,59.866665,24.883333,5.0,369.9093
1901-05-28 12:00:00.000000000,59.866665,24.883333,10.0,341.1531
1901-07-27 08:00:00.000858112,59.966667,19.8,10.0,250.5275
1901-07-27 08:00:00.000858112,59.966667,19.8,0.0,353.3527
1901-07-27 12:00:00.000000000,60.2,19.116667,0.0,265.777
1901-07-27 12:00:00.000000000,60.2,19.116667,7.5,336.36038
1901-07-27 12:00:00.000000000,60.2,19.116667,0.0,381.2375
1901-07-27 12:00:00.000000000,60.2,19.116667,10.0,361.631
1901-07-27 12:00:00.000000000,60.2,19.116667,0.0,359.45248
1901-07-27 18:00:00.000000000,59.766666,19.766666,0.0,259.6772
1901-07-27 18:00:00.000000000,59.766666,19.766666,2.5,346.8172
1901-07-27 18:00:00.000000000,59.766666,19.766666,5.0,328.9535
1901-07-27 18:00:00.000000000,59.766666,19.766666,2.5,281.4622
1901-07-28 00:00:00.000000000,59.5,20.433332,5.0,266.6484
1901-07-28 00:00:00.000000000,59.5,20.433332,20.0,338.9746
1901-07-28 00:00:00.000000000,59.5,20.433332,0.0,191.70801
1901-09-30 06:59:59.999141888,59.5,20.433332,0.0,284.94778
1901-09-30 06:59:59.999141888,59.5,20.433332,5.0,304.99
1901-09-30 06:59:59.999141888,59.5,20.433332,10.0,160.3376
1901-09-30 06:59:59.999141888,59.5,20.433332,5.0,149.0094
1901-10-02 08:00:00.000858112,60.2,19.116667,15.0,306.7328
1901-10-02 08:00:00.000858112,60.2,19.116667,0.0,362.50238
