time,lat,lon,surface_sal,year
1875-05-07 09:59:59.999141888,-13.483334,118.48333,34.6,1875
1875-05-08 13:59:59.998283264,-12.45,119.05,33.9,1875
1875-05-10 06:00:00.000000000,-11.316667,120.13333,33.4,1875
1875-05-12 13:00:00.001716736,-9.930333,121.86667,33.91,1875
1875-05-13 13:00:00.001716736,-9.961666,122.907005,32.99,1875
1875-05-27 14:44:59.998283264,-8.8,124.25,33.65,1875
1875-05-30 15:15:00.001716736,-7.5833335,125.45,33.51,1875
1875-05-31 15:00:00.000000000,-6.546,126.48833,33.39,1875
1875-06-12 15:00:00.000000000,-2.895,127.77167,34.7,1875
1875-06-13 15:00:00.000000000,-2.6116667,129.32167,34.31,1875
1875-06-14 15:00:00.000000000,-2.695,130.76666,33.78,1875
1875-06-19 00:00:00.000000000,35.3,147.15,34.76,1875
1875-06-23 00:00:00.000000000,35.683334,157.7,34.72,1875
1875-06-24 00:00:00.000000000,35.483334,161.86667,34.89,1875
1875-06-26 00:00:00.000000000,35.4,166.58333,34.57,1875
1875-06-26 09:59:59.999141888,-0.083333336,132.48334,35.08,1875
1875-06-28 00:00:00.000000000,35.366665,169.88333,34.63,1875
1875-06-28 13:59:59.998283264,0.5,134.31667,34.17,1875
1875-06-30 00:00:00.000000000,36.383335,174.51666,34.51,1875
1875-07-03 00:00:00.000000000,35.816666,-179.95,34.72,1875
1875-07-04 15:00:00.000000000,0.0,142.257,35.08,1875
1875-07-07 00:00:00.000000000,37.983334,-171.8,34.3,1875
1875-07-12 00:00:00.000000000,37.866665,-160.28334,34.23,1875
1875-07-14 00:00:00.000000000,38.15,-156.41667,34.25,1875
1875-07-16 13:59:59.998283264,0.11666667,151.01666,35.21,1875
1875-07-17 00:00:00.000000000,35.216667,-154.71666,34.67,1875
1875-07-21 00:00:00.000000000,30.366667,-154.93333,35.53,1875
1875-07-26 00:00:00.000000000,23.05,-156.1,34.75,1875
1875-07-28 13:00:00.001716736,-3.1116664,150.36667,34.83,1875
1875-08-11 13:00:00.001716736,-3.95,152.17368,35.48,1875
1875-08-23 00:00:00.000000000,68.45,-15.65,33.99,1875
1875-09-13 06:00:00.000000000,-14.860667,156.17168,35.21,1875
1875-09-16 00:00:00.000000000,-13.466666,-149.5,35.74,1875
1875-09-19 11:00:00.000858112,-22.416666,154.28835,36.0,1875
1875-10-04 00:00:00.000000000,-18.666666,-149.86667,36.49,1875
1875-10-06 00:00:00.000000000,-22.35,-150.28334,36.0,1875
1875-10-07 00:00:00.000000000,-23.766666,-149.98334,36.05,1875
1875-10-09 00:00:00.000000000,-26.15,-145.28334,35.47,1875
1875-10-11 00:00:00.000000000,-28.366667,-141.36667,35.47,1875
1875-10-14 00:00:00.000000000,-32.6,-137.71666,35.35,1875
1875-10-16 00:00:00.000000000,-33.483334,-133.36667,35.18,1875
1875-10-19 00:00:00.000000000,-36.533333,-132.86667,34.94,1875
1875-10-21 00:00:00.000000000,-40.05,-132.96666,34.61,1875
1875-10-23 00:00:00.000000000,-39.683334,-131.38333,34.25,1875
1875-10-25 00:00:00.000000000,-33.666668,166.47665,35.61,1875
1875-10-25 00:00:00.000000000,-39.266666,-124.11667,34.25,1875
1875-10-26 16:00:00.001716736,-34.0,169.98834,35.73,1875
1875-10-27 00:00:00.000000000,-39.216667,-118.816666,34.44,1875
1875-10-29 00:00:00.000000000,-38.716667,-112.51667,34.24,1875
1875-11-01 00:00:00.000000000,-39.066666,-105.083336,34.1,1875
1875-11-05 00:00:00.000000000,-38.116665,-94.066666,34.26,1875
1875-11-09 00:00:00.000000000,-38.1,-88.03333,34.24,1875
1875-11-11 00:00:00.000000000,-37.483334,-83.11667,34.37,1875
1875-11-12 09:00:00.000000000,-35.35,175.66667,35.48,1875
1875-11-13 11:00:00.000858112,-33.264668,176.42368,36.0,1875
1875-11-15 09:59:59.999141888,-30.858667,177.08833,35.87,1875
1875-11-19 13:00:00.001716736,-28.342001,179.67067,35.73,1875
1875-11-22 06:59:59.999141888,-23.393,179.28334,35.87,1875
1875-12-05 11:00:00.000858112,-15.874333,-178.17433,35.73,1875
1875-12-09 09:00:00.000000000,-14.862667,-175.52634,35.73,1875
1875-12-13 06:59:59.999141888,-18.666666,-174.14499,35.87,1875
1875-12-14 00:00:00.000000000,-33.516666,-74.71667,34.17,1875
1875-12-17 00:00:00.000000000,-33.7,-78.3,34.09,1875
1875-12-21 16:00:00.001716736,-17.062668,-172.88333,35.61,1875
1875-12-22 00:00:00.000000000,-37.483334,-84.03333,34.31,1875
1875-12-28 00:00:00.000000000,-42.716667,-82.183334,34.23,1875
1875-12-30 00:00:00.000000000,-45.516666,-78.15,33.97,1875
1875-12-31 04:59:59.999570944,-18.4,-168.45,35.61,1875
1876-01-03 11:00:00.000858112,-22.947,-165.245,35.87,1876
1876-01-04 16:00:00.001716736,-25.833334,-161.69,36.0,1876
1876-01-07 00:00:00.000000000,-50.183334,-74.75,29.17,1876
1876-01-08 11:00:00.000858112,-31.692001,-155.76666,35.35,1876
1876-01-11 13:59:59.998283264,-36.345997,-153.13333,35.08,1876
1876-01-14 11:00:00.000858112,-42.574333,-149.67833,34.83,1876
1876-01-17 11:00:00.000858112,-45.544,-141.17934,34.78,1876
1876-01-20 00:00:00.000000000,-52.333332,-67.65,33.02,1876
1876-01-20 09:59:59.999141888,-45.82933,-128.50766,34.83,1876
1876-01-21 00:00:00.000000000,-51.583332,-65.65,33.4,1876
1876-01-22 00:00:00.000000000,-51.4,-61.766666,33.67,1876
1876-01-23 06:00:00.000000000,-46.075333,-119.36267,34.17,1876
1876-01-28 11:00:00.000858112,-47.5,-92.88133,34.56,1876
1876-01-31 09:00:00.000000000,-51.677334,-80.497,34.17,1876
1876-02-03 00:00:00.000000000,-52.0,-74.0,30.77,1876
1876-02-08 00:00:00.000000000,-48.616665,-55.283333,34.19,1876
1876-02-11 00:00:00.000000000,-42.533333,-56.483334,34.14,1876
1876-02-14 00:00:00.000000000,-37.283333,-53.866665,34.08,1876
1876-02-15 00:00:00.000000000,-36.8,-55.583332,34.2,1876
1876-02-19 16:00:00.001716736,-34.998333,-54.4,31.31,1876
1876-02-20 10:15:00.000858112,-34.680336,-51.95667,35.48,1876
1876-02-21 11:00:00.000858112,-34.6,-49.759666,36.26,1876
1876-02-24 11:00:00.000858112,-34.180336,-41.874336,36.13,1876
1876-02-28 08:00:00.000858112,-35.65,-50.783333,34.97,1876
1876-02-29 00:00:00.000000000,-36.15,-48.366665,35.13,1876
1876-03-02 00:00:00.000000000,-36.733334,-46.266666,36.05,1876
1876-03-03 09:40:00.001144320,-29.345001,-26.166666,36.31,1876
1876-03-09 00:00:00.000000000,-37.783333,-30.333334,35.33,1876
1876-03-10 00:00:00.000000000,-37.483334,-27.516666,35.13,1876
1876-03-14 00:00:00.000000000,-35.75,-18.516666,35.22,1876
1876-03-14 16:00:00.001716736,-1.6743335,-25.396,36.39,1876
1876-03-16 00:00:00.000000000,-32.4,-13.083333,35.91,1876
